,metabolite,generation,treatment,sex,pAdj,AllSig,variable,estimate,std.error,statistic,p.value
60,Glycogen,F1,HSD,male,0.559360205, ,TreatmentHSD,-1.722008499,1.925413367,-0.894357819,0.371973828
63,Glycogen,F2,HSD,male,0.857807982, ,TreatmentHSD,0.512787861,1.734850763,0.295580388,0.767791095
66,Glycogen,F3,HSD,male,0.557966142, ,TreatmentHSD,1.342365389,1.447933714,0.92709036,0.354756251
69,Glycogen,F4,HSD,male,0.058424344,.,TreatmentHSD,-3.108851087,1.369163374,-2.270620984,0.023802511
72,Glycogen,F5,HSD,male,0.42658879, ,TreatmentHSD,-1.702615169,1.494608431,-1.139171394,0.255426621
56,Glycogen,F0,LSD,male,0.848422199, ,TreatmentLSD,-1.033319445,2.898466891,-0.35650552,0.722412428
59,Glycogen,F1,LSD,male,0.19445221, ,TreatmentLSD,-3.1651987,1.922007909,-1.646818769,0.100827072
62,Glycogen,F2,LSD,male,0.815094189, ,TreatmentLSD,-0.812941613,1.736597062,-0.468123338,0.640096254
65,Glycogen,F3,LSD,male,0.153137005, ,TreatmentLSD,-2.619966452,1.449391203,-1.807632367,0.071842052
68,Glycogen,F4,LSD,male,0.032055105,*,TreatmentLSD,-3.491089182,1.370124246,-2.548009198,0.011278648
71,Glycogen,F5,LSD,male,0.000385445,***,TreatmentLSD,-6.182740205,1.505063772,-4.107958959,5.00E-05
73,Trehalose,F0,NSD,female,0.000550695,***,TreatmentNSD,-12.44253337,2.985647188,-4.167449329,7.82E-05
58,Glycogen,F1,NSD,male,0.671553525, ,TreatmentNSD,-1.402893029,1.916004319,-0.732197216,0.464720624
61,Glycogen,F2,NSD,male,0.559360205, ,TreatmentNSD,1.529428619,1.741778167,0.878084619,0.380724386
64,Glycogen,F3,NSD,male,0.671553525, ,TreatmentNSD,1.055576218,1.453715435,0.726123004,0.468429311
67,Glycogen,F4,NSD,male,0.743349239, ,TreatmentNSD,-0.805237643,1.353220404,-0.595052839,0.552208681
70,Glycogen,F5,NSD,male,0.018594033,*,TreatmentNSD,-4.176531845,1.495168484,-2.793351979,0.005509343
3,TAG,F0,HSD,female,0.020814099,*,TreatmentHSD,15.01478948,5.34903377,2.807009663,0.006295622
6,TAG,F1,HSD,female,0.815094189, ,TreatmentHSD,-2.36994852,5.201677524,-0.45561235,0.649056484
9,TAG,F2,HSD,female,9.43E-14,***,TreatmentHSD,45.8943473,5.488974691,8.361187631,4.07E-15
12,TAG,F3,HSD,female,0.168347698, ,TreatmentHSD,12.78511971,7.399134286,1.727921026,0.085213033
15,TAG,F4,HSD,female,1.70E-07,***,TreatmentHSD,20.68909806,3.586183119,5.769113671,1.78E-08
18,TAG,F5,HSD,female,7.09E-26,***,TreatmentHSD,-41.26118175,3.427125528,-12.03958869,4.37E-28
2,TAG,F0,LSD,female,1.74E-05,***,TreatmentLSD,-25.68394321,4.996006677,-5.140894494,1.94E-06
5,TAG,F1,LSD,female,3.30E-08,***,TreatmentLSD,31.90182263,5.201391943,6.133324114,3.26E-09
8,TAG,F2,LSD,female,0.004960222,**,TreatmentLSD,-18.39440506,5.559036002,-3.308919937,0.001071653
11,TAG,F3,LSD,female,2.54E-16,***,TreatmentLSD,68.56593564,7.33454799,9.3483519,4.70E-18
14,TAG,F4,LSD,female,0.018594033,*,TreatmentLSD,10.02510924,3.588036515,2.794037687,0.005497938
17,TAG,F5,LSD,female,1.64E-08,***,TreatmentLSD,-21.51915769,3.457620092,-6.223690607,1.42E-09
127,Glucose,F0,NSD,male,7.88E-10,***,TreatmentNSD,-8.731050589,1.149648847,-7.594536898,5.35E-11
4,TAG,F1,NSD,female,0.001836436,**,TreatmentNSD,18.81722661,5.218404896,3.605934569,0.000374089
7,TAG,F2,NSD,female,0.125334233, ,TreatmentNSD,-10.6598803,5.492485184,-1.940811845,0.053383099
10,TAG,F3,NSD,female,0.920535667, ,TreatmentNSD,1.231268568,7.381429044,0.166806259,0.867654687
13,TAG,F4,NSD,female,0.000438767,***,TreatmentNSD,14.53915659,3.576593429,4.065085081,5.96E-05
16,TAG,F5,NSD,female,4.07E-22,***,TreatmentNSD,-37.4506401,3.429497281,-10.92015448,5.03E-24
21,TAG,F0,HSD,male,1.96E-08,***,TreatmentHSD,33.80616302,4.972810625,6.798200368,1.81E-09
24,TAG,F1,HSD,male,0.559360205, ,TreatmentHSD,-4.624461864,5.214423444,-0.886859672,0.375990102
27,TAG,F2,HSD,male,0.559360205, ,TreatmentHSD,-4.760790063,5.450853021,-0.873402758,0.383265326
30,TAG,F3,HSD,male,0.907854025, ,TreatmentHSD,1.601973545,7.427012773,0.215695542,0.829397504
33,TAG,F4,HSD,male,0.848422199, ,TreatmentHSD,-1.386075617,3.574301993,-0.387789174,0.698412599
36,TAG,F5,HSD,male,0.673657406, ,TreatmentHSD,2.458432044,3.430274962,0.716686584,0.474055211
20,TAG,F0,LSD,male,0.001172866,**,TreatmentLSD,-19.33257166,4.960593902,-3.897229252,0.000202718
23,TAG,F1,LSD,male,0.973082331, ,TreatmentLSD,-0.333829661,5.219701508,-0.063955699,0.949055607
26,TAG,F2,LSD,male,0.057121859,.,TreatmentLSD,12.4999539,5.447457236,2.294640116,0.022566661
29,TAG,F3,LSD,male,0.007108679,**,TreatmentLSD,-23.3680429,7.335178902,-3.185749552,0.001623587
32,TAG,F4,LSD,male,0.168347698, ,TreatmentLSD,6.191813603,3.577224203,1.730898946,0.08436909
35,TAG,F5,LSD,male,2.31E-12,***,TreatmentLSD,26.52079282,3.427365946,7.737951897,1.14E-13
55,Glycogen,F0,NSD,male,0.014215908,*,TreatmentNSD,-8.422065281,2.836217503,-2.969470878,0.003948863
22,TAG,F1,NSD,male,0.457230632, ,TreatmentNSD,5.708067217,5.266074849,1.083932033,0.279418719
25,TAG,F2,NSD,male,0.257541112, ,TreatmentNSD,-7.98138613,5.433388488,-1.468951861,0.143078395
28,TAG,F3,NSD,male,0.0139022,*,TreatmentNSD,-21.51349801,7.359601698,-2.923187815,0.003775906
31,TAG,F4,NSD,male,0.030396505,*,TreatmentNSD,9.2684359,3.575522172,2.592190862,0.009944536
34,TAG,F5,NSD,male,0.140269013, ,TreatmentNSD,6.456603624,3.429744608,1.882531897,0.060610067
75,Trehalose,F0,HSD,female,0.001123378,**,TreatmentHSD,11.82903458,3.009136522,3.931039517,0.000180295
78,Trehalose,F1,HSD,female,0.85554587, ,TreatmentHSD,0.390444244,1.189598487,0.328215149,0.743018338
81,Trehalose,F2,HSD,female,0.252002297, ,TreatmentHSD,1.983662555,1.334667364,1.486259879,0.138445706
84,Trehalose,F3,HSD,female,0.031036497,*,TreatmentHSD,-2.877530188,1.114772044,-2.58127229,0.010403015
87,Trehalose,F4,HSD,female,0.973082331, ,TreatmentHSD,0.041004616,0.601291907,0.068194192,0.945671613
90,Trehalose,F5,HSD,female,0.032447891,*,TreatmentHSD,-1.961456287,0.77308297,-2.53718729,0.011617146
74,Trehalose,F0,LSD,female,0.220083066, ,TreatmentLSD,-4.806159811,3.019764306,-1.591567859,0.115475683
77,Trehalose,F1,LSD,female,0.364646549, ,TreatmentLSD,-1.486608999,1.19291709,-1.246196413,0.213835939
80,Trehalose,F2,LSD,female,0.559033397, ,TreatmentLSD,1.222757262,1.330312794,0.919150194,0.358885637
83,Trehalose,F3,LSD,female,0.152262944, ,TreatmentLSD,-2.025029135,1.111134918,-1.822487172,0.069552209
86,Trehalose,F4,LSD,female,0.039136053,*,TreatmentLSD,1.439169766,0.588497857,2.44549704,0.014977996
89,Trehalose,F5,LSD,female,0.876258298, ,TreatmentLSD,0.20571651,0.770791474,0.266889966,0.789714269
19,TAG,F0,NSD,male,6.33E-15,***,TreatmentNSD,-55.39921665,5.306505592,-10.43986776,1.56E-16
76,Trehalose,F1,NSD,female,0.031036497,*,TreatmentNSD,3.060131339,1.189030355,2.573636011,0.010629333
79,Trehalose,F2,NSD,female,0.152542615, ,TreatmentNSD,2.41782158,1.331765899,1.815500443,0.070621581
82,Trehalose,F3,NSD,female,0.559360205, ,TreatmentNSD,-0.998656421,1.112348615,-0.897790861,0.370143932
85,Trehalose,F4,NSD,female,0.001393231,**,TreatmentNSD,2.180786137,0.589528783,3.699202144,0.000252578
88,Trehalose,F5,NSD,female,0.267606643, ,TreatmentNSD,1.132135143,0.785322028,1.441618983,0.15032225
93,Trehalose,F0,HSD,male,0.037339602,*,TreatmentHSD,7.510195651,2.99027962,2.511536246,0.014059974
96,Trehalose,F1,HSD,male,0.85554587, ,TreatmentHSD,0.394033124,1.19585883,0.329498026,0.742049773
99,Trehalose,F2,HSD,male,0.920535667, ,TreatmentHSD,-0.218911855,1.330019852,-0.164592923,0.869394797
102,Trehalose,F3,HSD,male,0.457230632, ,TreatmentHSD,1.208378644,1.11089024,1.087757008,0.277729438
105,Trehalose,F4,HSD,male,0.711297179, ,TreatmentHSD,-0.394390239,0.60961375,-0.646951023,0.518105352
108,Trehalose,F5,HSD,male,0.85554587, ,TreatmentHSD,-0.235726268,0.771143238,-0.305684153,0.760030576
92,Trehalose,F0,LSD,male,0.698302099, ,TreatmentLSD,-2.057189541,3.060978753,-0.6720692,0.503500459
95,Trehalose,F1,LSD,male,0.907854025, ,TreatmentLSD,-0.260429429,1.193743727,-0.218161924,0.827477435
98,Trehalose,F2,LSD,male,0.848422199, ,TreatmentLSD,-0.487712929,1.331358649,-0.366327232,0.714424663
101,Trehalose,F3,LSD,male,0.848422199, ,TreatmentLSD,0.402163717,1.112008462,0.361655267,0.717909147
104,Trehalose,F4,LSD,male,0.848422199, ,TreatmentLSD,-0.216631836,0.610041574,-0.355109955,0.722730021
107,Trehalose,F5,LSD,male,0.815094189, ,TreatmentLSD,-0.354664076,0.776537672,-0.456724881,0.648157897
91,Trehalose,F0,NSD,male,0.001393231,**,TreatmentNSD,-11.46315963,2.995239153,-3.827126664,0.000258006
94,Trehalose,F1,NSD,male,0.750107071, ,TreatmentNSD,-0.685850204,1.190014945,-0.576337471,0.564895448
97,Trehalose,F2,NSD,male,0.783829248, ,TreatmentNSD,-0.682637068,1.335330732,-0.51121198,0.609644971
100,Trehalose,F3,NSD,male,0.168347698, ,TreatmentNSD,1.952644669,1.115326118,1.750738764,0.081193437
103,Trehalose,F4,NSD,male,0.926521529, ,TreatmentNSD,-0.090443956,0.602515215,-0.150110658,0.880767379
106,Trehalose,F5,NSD,male,0.920535667, ,TreatmentNSD,0.130613209,0.771432198,0.169312623,0.865650555
